GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reportmanagementservice_AP,com.training.reportmanagementservice_AP.config,SecurityConfig,0,64,0,0,0,10,0,3,0,3
reportmanagementservice_AP,com.training.reportmanagementservice_AP,ReportmanagementserviceApApplication,5,3,0,0,2,1,1,1,1,1
reportmanagementservice_AP,com.training.reportmanagementservice_AP.controller,ReportController,9,48,0,0,1,6,1,6,1,6
reportmanagementservice_AP,com.training.reportmanagementservice_AP.service,ReportServiceImpl,5,28,0,0,1,6,1,5,1,5
reportmanagementservice_AP,com.training.reportmanagementservice_AP.model,Report,0,103,0,0,0,29,0,15,0,15
